Type,Salary From,Salary To,MSC,Employer Share,Employee Share,Total,Month,Year,Status
Pag-IBIG,0,749,500,10,5,15,January,2026,active
Pag-IBIG,750,1249,1000,20,10,30,January,2026,active
Pag-IBIG,1250,1500,1500,30,15,45,January,2026,active
Pag-IBIG,1501,2249,2000,40,40,80,January,2026,active
Pag-IBIG,2250,2749,2500,50,50,100,January,2026,active
Pag-IBIG,2750,3249,3000,60,60,120,January,2026,active
Pag-IBIG,3250,3749,3500,70,70,140,January,2026,active
Pag-IBIG,3750,4249,4000,80,80,160,January,2026,active
Pag-IBIG,4250,4749,4500,90,90,180,January,2026,active
Pag-IBIG,4750,5249,5000,100,100,200,January,2026,active
Pag-IBIG,5250,5749,5500,110,110,220,January,2026,active
Pag-IBIG,5750,6249,6000,120,120,240,January,2026,active
Pag-IBIG,6250,6749,6500,130,130,260,January,2026,active
Pag-IBIG,6750,7249,7000,140,140,280,January,2026,active
Pag-IBIG,7250,7749,7500,150,150,300,January,2026,active
Pag-IBIG,7750,8249,8000,160,160,320,January,2026,active
Pag-IBIG,8250,8749,8500,170,170,340,January,2026,active
Pag-IBIG,8750,9249,9000,180,180,360,January,2026,active
Pag-IBIG,9250,9749,9500,190,190,380,January,2026,active
Pag-IBIG,9750,999999,10000,200,200,400,January,2026,active
