Type,Salary From,Salary To,MSC,Employer Share,Employee Share,Total,Month,Year,Status
PhilHealth,0,10249,10000,250,250,500,January,2026,active
PhilHealth,10250,10749,10500,262,263,525,January,2026,active
PhilHealth,10750,11249,11000,275,275,550,January,2026,active
PhilHealth,11250,11749,11500,287,288,575,January,2026,active
PhilHealth,11750,12249,12000,300,300,600,January,2026,active
PhilHealth,12250,12749,12500,312,313,625,January,2026,active
PhilHealth,12750,13249,13000,325,325,650,January,2026,active
PhilHealth,13250,13749,13500,337,338,675,January,2026,active
PhilHealth,13750,14249,14000,350,350,700,January,2026,active
PhilHealth,14250,14749,14500,362,363,725,January,2026,active
PhilHealth,14750,15249,15000,375,375,750,January,2026,active
PhilHealth,15250,15749,15500,387,388,775,January,2026,active
PhilHealth,15750,16249,16000,400,400,800,January,2026,active
PhilHealth,16250,16749,16500,412,413,825,January,2026,active
PhilHealth,16750,17249,17000,425,425,850,January,2026,active
PhilHealth,17250,17749,17500,437,438,875,January,2026,active
PhilHealth,17750,18249,18000,450,450,900,January,2026,active
PhilHealth,18250,18749,18500,462,463,925,January,2026,active
PhilHealth,18750,19249,19000,475,475,950,January,2026,active
PhilHealth,19250,19749,19500,487,488,975,January,2026,active
PhilHealth,19750,20249,20000,500,500,1000,January,2026,active
PhilHealth,20250,20749,20500,512,513,1025,January,2026,active
PhilHealth,20750,21249,21000,525,525,1050,January,2026,active
PhilHealth,21250,21749,21500,537,538,1075,January,2026,active
PhilHealth,21750,22249,22000,550,550,1100,January,2026,active
PhilHealth,22250,22749,22500,562,563,1125,January,2026,active
PhilHealth,22750,23249,23000,575,575,1150,January,2026,active
PhilHealth,23250,23749,23500,587,588,1175,January,2026,active
PhilHealth,23750,24249,24000,600,600,1200,January,2026,active
PhilHealth,24250,24749,24500,612,613,1225,January,2026,active
PhilHealth,24750,25249,25000,625,625,1250,January,2026,active
PhilHealth,25250,25749,25500,637,638,1275,January,2026,active
PhilHealth,25750,26249,26000,650,650,1300,January,2026,active
PhilHealth,26250,26749,26500,662,663,1325,January,2026,active
PhilHealth,26750,27249,27000,675,675,1350,January,2026,active
PhilHealth,27250,27749,27500,687,688,1375,January,2026,active
PhilHealth,27750,28249,28000,700,700,1400,January,2026,active
PhilHealth,28250,28749,28500,712,713,1425,January,2026,active
PhilHealth,28750,29249,29000,725,725,1450,January,2026,active
PhilHealth,29250,29749,29500,737,738,1475,January,2026,active
PhilHealth,29750,30249,30000,750,750,1500,January,2026,active
PhilHealth,30250,30749,30500,762,763,1525,January,2026,active
PhilHealth,30750,31249,31000,775,775,1550,January,2026,active
PhilHealth,31250,31749,31500,787,788,1575,January,2026,active
PhilHealth,31750,32249,32000,800,800,1600,January,2026,active
PhilHealth,32250,32749,32500,812,813,1625,January,2026,active
PhilHealth,32750,33249,33000,825,825,1650,January,2026,active
PhilHealth,33250,33749,33500,837,838,1675,January,2026,active
PhilHealth,33750,34249,34000,850,850,1700,January,2026,active
PhilHealth,34250,34749,34500,862,863,1725,January,2026,active
PhilHealth,34750,35249,35000,875,875,1750,January,2026,active
PhilHealth,35250,35749,35500,887,888,1775,January,2026,active
PhilHealth,35750,36249,36000,900,900,1800,January,2026,active
PhilHealth,36250,36749,36500,912,913,1825,January,2026,active
PhilHealth,36750,37249,37000,925,925,1850,January,2026,active
PhilHealth,37250,37749,37500,937,938,1875,January,2026,active
PhilHealth,37750,38249,38000,950,950,1900,January,2026,active
PhilHealth,38250,38749,38500,962,963,1925,January,2026,active
PhilHealth,38750,39249,39000,975,975,1950,January,2026,active
PhilHealth,39250,39749,39500,987,988,1975,January,2026,active
PhilHealth,39750,40249,40000,1000,1000,2000,January,2026,active
PhilHealth,40250,40749,40500,1012,1013,2025,January,2026,active
PhilHealth,40750,41249,41000,1025,1025,2050,January,2026,active
PhilHealth,41250,41749,41500,1037,1038,2075,January,2026,active
PhilHealth,41750,42249,42000,1050,1050,2100,January,2026,active
PhilHealth,42250,42749,42500,1062,1063,2125,January,2026,active
PhilHealth,42750,43249,43000,1075,1075,2150,January,2026,active
PhilHealth,43250,43749,43500,1087,1088,2175,January,2026,active
PhilHealth,43750,44249,44000,1100,1100,2200,January,2026,active
PhilHealth,44250,44749,44500,1112,1113,2225,January,2026,active
PhilHealth,44750,45249,45000,1125,1125,2250,January,2026,active
PhilHealth,45250,45749,45500,1137,1138,2275,January,2026,active
PhilHealth,45750,46249,46000,1150,1150,2300,January,2026,active
PhilHealth,46250,46749,46500,1162,1163,2325,January,2026,active
PhilHealth,46750,47249,47000,1175,1175,2350,January,2026,active
PhilHealth,47250,47749,47500,1187,1188,2375,January,2026,active
PhilHealth,47750,48249,48000,1200,1200,2400,January,2026,active
PhilHealth,48250,48749,48500,1212,1213,2425,January,2026,active
PhilHealth,48750,49249,49000,1225,1225,2450,January,2026,active
PhilHealth,49250,49749,49500,1237,1238,2475,January,2026,active
PhilHealth,49750,50249,50000,1250,1250,2500,January,2026,active
PhilHealth,50250,50749,50500,1262,1263,2525,January,2026,active
PhilHealth,50750,51249,51000,1275,1275,2550,January,2026,active
PhilHealth,51250,51749,51500,1287,1288,2575,January,2026,active
PhilHealth,51750,52249,52000,1300,1300,2600,January,2026,active
PhilHealth,52250,52749,52500,1312,1313,2625,January,2026,active
PhilHealth,52750,53249,53000,1325,1325,2650,January,2026,active
PhilHealth,53250,53749,53500,1337,1338,2675,January,2026,active
PhilHealth,53750,54249,54000,1350,1350,2700,January,2026,active
PhilHealth,54250,54749,54500,1362,1363,2725,January,2026,active
PhilHealth,54750,55249,55000,1375,1375,2750,January,2026,active
PhilHealth,55250,55749,55500,1387,1388,2775,January,2026,active
PhilHealth,55750,56249,56000,1400,1400,2800,January,2026,active
PhilHealth,56250,56749,56500,1412,1413,2825,January,2026,active
PhilHealth,56750,57249,57000,1425,1425,2850,January,2026,active
PhilHealth,57250,57749,57500,1437,1438,2875,January,2026,active
PhilHealth,57750,58249,58000,1450,1450,2900,January,2026,active
PhilHealth,58250,58749,58500,1462,1463,2925,January,2026,active
PhilHealth,58750,59249,59000,1475,1475,2950,January,2026,active
PhilHealth,59250,59749,59500,1487,1488,2975,January,2026,active
PhilHealth,59750,60249,60000,1500,1500,3000,January,2026,active
PhilHealth,60250,60749,60500,1512,1513,3025,January,2026,active
PhilHealth,60750,61249,61000,1525,1525,3050,January,2026,active
PhilHealth,61250,61749,61500,1537,1538,3075,January,2026,active
PhilHealth,61750,62249,62000,1550,1550,3100,January,2026,active
PhilHealth,62250,62749,62500,1562,1563,3125,January,2026,active
PhilHealth,62750,63249,63000,1575,1575,3150,January,2026,active
PhilHealth,63250,63749,63500,1587,1588,3175,January,2026,active
PhilHealth,63750,64249,64000,1600,1600,3200,January,2026,active
PhilHealth,64250,64749,64500,1612,1613,3225,January,2026,active
PhilHealth,64750,65249,65000,1625,1625,3250,January,2026,active
PhilHealth,65250,65749,65500,1637,1638,3275,January,2026,active
PhilHealth,65750,66249,66000,1650,1650,3300,January,2026,active
PhilHealth,66250,66749,66500,1662,1663,3325,January,2026,active
PhilHealth,66750,67249,67000,1675,1675,3350,January,2026,active
PhilHealth,67250,67749,67500,1687,1688,3375,January,2026,active
PhilHealth,67750,68249,68000,1700,1700,3400,January,2026,active
PhilHealth,68250,68749,68500,1712,1713,3425,January,2026,active
PhilHealth,68750,69249,69000,1725,1725,3450,January,2026,active
PhilHealth,69250,69749,69500,1737,1738,3475,January,2026,active
PhilHealth,69750,70249,70000,1750,1750,3500,January,2026,active
PhilHealth,70250,70749,70500,1762,1763,3525,January,2026,active
PhilHealth,70750,71249,71000,1775,1775,3550,January,2026,active
PhilHealth,71250,71749,71500,1787,1788,3575,January,2026,active
PhilHealth,71750,72249,72000,1800,1800,3600,January,2026,active
PhilHealth,72250,72749,72500,1812,1813,3625,January,2026,active
PhilHealth,72750,73249,73000,1825,1825,3650,January,2026,active
PhilHealth,73250,73749,73500,1837,1838,3675,January,2026,active
PhilHealth,73750,74249,74000,1850,1850,3700,January,2026,active
PhilHealth,74250,74749,74500,1862,1863,3725,January,2026,active
PhilHealth,74750,75249,75000,1875,1875,3750,January,2026,active
PhilHealth,75250,75749,75500,1887,1888,3775,January,2026,active
PhilHealth,75750,76249,76000,1900,1900,3800,January,2026,active
PhilHealth,76250,76749,76500,1912,1913,3825,January,2026,active
PhilHealth,76750,77249,77000,1925,1925,3850,January,2026,active
PhilHealth,77250,77749,77500,1937,1938,3875,January,2026,active
PhilHealth,77750,78249,78000,1950,1950,3900,January,2026,active
PhilHealth,78250,78749,78500,1962,1963,3925,January,2026,active
PhilHealth,78750,79249,79000,1975,1975,3950,January,2026,active
PhilHealth,79250,79749,79500,1987,1988,3975,January,2026,active
PhilHealth,79750,80249,80000,2000,2000,4000,January,2026,active
PhilHealth,80250,80749,80500,2012,2013,4025,January,2026,active
PhilHealth,80750,81249,81000,2025,2025,4050,January,2026,active
PhilHealth,81250,81749,81500,2037,2038,4075,January,2026,active
PhilHealth,81750,82249,82000,2050,2050,4100,January,2026,active
PhilHealth,82250,82749,82500,2062,2063,4125,January,2026,active
PhilHealth,82750,83249,83000,2075,2075,4150,January,2026,active
PhilHealth,83250,83749,83500,2087,2088,4175,January,2026,active
PhilHealth,83750,84249,84000,2100,2100,4200,January,2026,active
PhilHealth,84250,84749,84500,2112,2113,4225,January,2026,active
PhilHealth,84750,85249,85000,2125,2125,4250,January,2026,active
PhilHealth,85250,85749,85500,2137,2138,4275,January,2026,active
PhilHealth,85750,86249,86000,2150,2150,4300,January,2026,active
PhilHealth,86250,86749,86500,2162,2163,4325,January,2026,active
PhilHealth,86750,87249,87000,2175,2175,4350,January,2026,active
PhilHealth,87250,87749,87500,2187,2188,4375,January,2026,active
PhilHealth,87750,88249,88000,2200,2200,4400,January,2026,active
PhilHealth,88250,88749,88500,2212,2213,4425,January,2026,active
PhilHealth,88750,89249,89000,2225,2225,4450,January,2026,active
PhilHealth,89250,89749,89500,2237,2238,4475,January,2026,active
PhilHealth,89750,90249,90000,2250,2250,4500,January,2026,active
PhilHealth,90250,90749,90500,2262,2263,4525,January,2026,active
PhilHealth,90750,91249,91000,2275,2275,4550,January,2026,active
PhilHealth,91250,91749,91500,2287,2288,4575,January,2026,active
PhilHealth,91750,92249,92000,2300,2300,4600,January,2026,active
PhilHealth,92250,92749,92500,2312,2313,4625,January,2026,active
PhilHealth,92750,93249,93000,2325,2325,4650,January,2026,active
PhilHealth,93250,93749,93500,2337,2338,4675,January,2026,active
PhilHealth,93750,94249,94000,2350,2350,4700,January,2026,active
PhilHealth,94250,94749,94500,2362,2363,4725,January,2026,active
PhilHealth,94750,95249,95000,2375,2375,4750,January,2026,active
PhilHealth,95250,95749,95500,2387,2388,4775,January,2026,active
PhilHealth,95750,96249,96000,2400,2400,4800,January,2026,active
PhilHealth,96250,96749,96500,2412,2413,4825,January,2026,active
PhilHealth,96750,97249,97000,2425,2425,4850,January,2026,active
PhilHealth,97250,97749,97500,2437,2438,4875,January,2026,active
PhilHealth,97750,98249,98000,2450,2450,4900,January,2026,active
PhilHealth,98250,98749,98500,2462,2463,4925,January,2026,active
PhilHealth,98750,99249,99000,2475,2475,4950,January,2026,active
PhilHealth,99250,99749,99500,2487,2488,4975,January,2026,active
PhilHealth,99750,999999,100000,2500,2500,5000,January,2026,active
