Type,Salary From,Salary To,MSC,Employer Share,Employee Share,Total,Month,Year,Status
SSS,0,5249,5000,510,250,760,January,2026,active
SSS,5250,5749,5500,560,275,835,January,2026,active
SSS,5750,6249,6000,610,300,910,January,2026,active
SSS,6250,6749,6500,660,325,985,January,2026,active
SSS,6750,7249,7000,710,350,1060,January,2026,active
SSS,7250,7749,7500,760,375,1135,January,2026,active
SSS,7750,8249,8000,810,400,1210,January,2026,active
SSS,8250,8749,8500,860,425,1285,January,2026,active
SSS,8750,9249,9000,910,450,1360,January,2026,active
SSS,9250,9749,9500,960,475,1435,January,2026,active
SSS,9750,10249,10000,1010,500,1510,January,2026,active
SSS,10250,10749,10500,1060,525,1585,January,2026,active
SSS,10750,11249,11000,1110,550,1660,January,2026,active
SSS,11250,11749,11500,1160,575,1735,January,2026,active
SSS,11750,12249,12000,1210,600,1810,January,2026,active
SSS,12250,12749,12500,1260,625,1885,January,2026,active
SSS,12750,13249,13000,1310,650,1960,January,2026,active
SSS,13250,13749,13500,1360,675,2035,January,2026,active
SSS,13750,14249,14000,1410,700,2110,January,2026,active
SSS,14250,14749,14500,1460,725,2185,January,2026,active
SSS,14750,15249,15000,1530,750,2280,January,2026,active
SSS,15250,15749,15500,1580,775,2355,January,2026,active
SSS,15750,16249,16000,1630,800,2430,January,2026,active
SSS,16250,16749,16500,1680,825,2505,January,2026,active
SSS,16750,17249,17000,1730,850,2580,January,2026,active
SSS,17250,17749,17500,1780,875,2655,January,2026,active
SSS,17750,18249,18000,1830,900,2730,January,2026,active
SSS,18250,18749,18500,1880,925,2805,January,2026,active
SSS,18750,19249,19000,1930,950,2880,January,2026,active
SSS,19250,19749,19500,1980,975,2955,January,2026,active
SSS,19750,20249,20000,2030,1000,3030,January,2026,active
SSS,20250,20749,20500,2080,1025,3105,January,2026,active
SSS,20750,21249,21000,2130,1050,3180,January,2026,active
SSS,21250,21749,21500,2180,1075,3255,January,2026,active
SSS,21750,22249,22000,2230,1100,3330,January,2026,active
SSS,22250,22749,22500,2280,1125,3405,January,2026,active
SSS,22750,23249,23000,2330,1150,3480,January,2026,active
SSS,23250,23749,23500,2380,1175,3555,January,2026,active
SSS,23750,24249,24000,2430,1200,3630,January,2026,active
SSS,24250,24749,24500,2480,1225,3705,January,2026,active
SSS,24750,25249,25000,2530,1250,3780,January,2026,active
SSS,25250,25749,25500,2580,1275,3855,January,2026,active
SSS,25750,26249,26000,2630,1300,3930,January,2026,active
SSS,26250,26749,26500,2680,1325,4005,January,2026,active
SSS,26750,27249,27000,2730,1350,4080,January,2026,active
SSS,27250,27749,27500,2780,1375,4155,January,2026,active
SSS,27750,28249,28000,2830,1400,4230,January,2026,active
SSS,28250,28749,28500,2880,1425,4305,January,2026,active
SSS,28750,29249,29000,2930,1450,4380,January,2026,active
SSS,29250,29749,29500,2980,1475,4455,January,2026,active
SSS,29750,30249,30000,3030,1500,4530,January,2026,active
SSS,30250,30749,30500,3080,1525,4605,January,2026,active
SSS,30750,31249,31000,3130,1550,4680,January,2026,active
SSS,31250,31749,31500,3180,1575,4755,January,2026,active
SSS,31750,32249,32000,3230,1600,4830,January,2026,active
SSS,32250,32749,32500,3280,1625,4905,January,2026,active
SSS,32750,33249,33000,3330,1650,4980,January,2026,active
SSS,33250,33749,33500,3380,1675,5055,January,2026,active
SSS,33750,34249,34000,3430,1700,5130,January,2026,active
SSS,34250,34749,34500,3480,1725,5205,January,2026,active
SSS,34750,999999,35000,3530,1750,5280,January,2026,active
