Type,Salary From,Salary To,MSC,Employer Share,Employee Share,Total,Month,Year,Status
Tax,0,22749,20612,0,0,0,January,2026,active
Tax,22750,23249,21075,0,36,36,January,2026,active
Tax,23250,23749,21537,0,106,106,January,2026,active
Tax,23750,24249,22000,0,175,175,January,2026,active
Tax,24250,24749,22462,0,244,244,January,2026,active
Tax,24750,25249,22925,0,314,314,January,2026,active
Tax,25250,25749,23387,0,383,383,January,2026,active
Tax,25750,26249,23850,0,453,453,January,2026,active
Tax,26250,26749,24312,0,522,522,January,2026,active
Tax,26750,27249,24775,0,591,591,January,2026,active
Tax,27250,27749,25237,0,661,661,January,2026,active
Tax,27750,28249,25700,0,730,730,January,2026,active
Tax,28250,28749,26162,0,799,799,January,2026,active
Tax,28750,29249,26625,0,869,869,January,2026,active
Tax,29250,29749,27087,0,938,938,January,2026,active
Tax,29750,30249,27550,0,1008,1008,January,2026,active
Tax,30250,30749,28012,0,1077,1077,January,2026,active
Tax,30750,31249,28475,0,1146,1146,January,2026,active
Tax,31250,31749,28937,0,1216,1216,January,2026,active
Tax,31750,32249,29400,0,1285,1285,January,2026,active
Tax,32250,32749,29862,0,1354,1354,January,2026,active
Tax,32750,33249,30325,0,1424,1424,January,2026,active
Tax,33250,33749,30787,0,1493,1493,January,2026,active
Tax,33750,34249,31250,0,1563,1563,January,2026,active
Tax,34250,34749,31712,0,1632,1632,January,2026,active
Tax,34750,35249,32175,0,1701,1701,January,2026,active
Tax,35250,35749,32662,0,1774,1774,January,2026,active
Tax,35750,36249,33150,0,1848,1848,January,2026,active
Tax,36250,36749,33637,0,1936,1936,January,2026,active
Tax,36750,37249,34125,0,2033,2033,January,2026,active
Tax,37250,37749,34612,0,2131,2131,January,2026,active
Tax,37750,38249,35100,0,2228,2228,January,2026,active
Tax,38250,38749,35587,0,2326,2326,January,2026,active
Tax,38750,39249,36075,0,2423,2423,January,2026,active
Tax,39250,39749,36562,0,2521,2521,January,2026,active
Tax,39750,40249,37050,0,2618,2618,January,2026,active
Tax,40250,40749,37537,0,2716,2716,January,2026,active
Tax,40750,41249,38025,0,2813,2813,January,2026,active
Tax,41250,41749,38512,0,2911,2911,January,2026,active
Tax,41750,42249,39000,0,3008,3008,January,2026,active
Tax,42250,42749,39487,0,3106,3106,January,2026,active
Tax,42750,43249,39975,0,3203,3203,January,2026,active
Tax,43250,43749,40462,0,3301,3301,January,2026,active
Tax,43750,44249,40950,0,3398,3398,January,2026,active
Tax,44250,44749,41437,0,3496,3496,January,2026,active
Tax,44750,45249,41925,0,3593,3593,January,2026,active
Tax,45250,45749,42412,0,3691,3691,January,2026,active
Tax,45750,46249,42900,0,3788,3788,January,2026,active
Tax,46250,46749,43387,0,3886,3886,January,2026,active
Tax,46750,47249,43875,0,3983,3983,January,2026,active
Tax,47250,47749,44362,0,4081,4081,January,2026,active
Tax,47750,48249,44850,0,4178,4178,January,2026,active
Tax,48250,48749,45337,0,4276,4276,January,2026,active
Tax,48750,49249,45825,0,4373,4373,January,2026,active
Tax,49250,49749,46312,0,4471,4471,January,2026,active
Tax,49750,50249,46800,0,4568,4568,January,2026,active
Tax,50250,50749,47287,0,4666,4666,January,2026,active
Tax,50750,51249,47775,0,4763,4763,January,2026,active
Tax,51250,51749,48262,0,4861,4861,January,2026,active
Tax,51750,52249,48750,0,4958,4958,January,2026,active
Tax,52250,52749,49237,0,5056,5056,January,2026,active
Tax,52750,53249,49725,0,5153,5153,January,2026,active
Tax,53250,53749,50212,0,5251,5251,January,2026,active
Tax,53750,54249,50700,0,5348,5348,January,2026,active
Tax,54250,54749,51187,0,5446,5446,January,2026,active
Tax,54750,55249,51675,0,5543,5543,January,2026,active
Tax,55250,55749,52162,0,5641,5641,January,2026,active
Tax,55750,56249,52650,0,5738,5738,January,2026,active
Tax,56250,56749,53137,0,5836,5836,January,2026,active
Tax,56750,57249,53625,0,5933,5933,January,2026,active
Tax,57250,57749,54112,0,6031,6031,January,2026,active
Tax,57750,58249,54600,0,6128,6128,January,2026,active
Tax,58250,58749,55087,0,6226,6226,January,2026,active
Tax,58750,59249,55575,0,6323,6323,January,2026,active
Tax,59250,59749,56062,0,6421,6421,January,2026,active
Tax,59750,60249,56550,0,6518,6518,January,2026,active
Tax,60250,60749,57037,0,6616,6616,January,2026,active
Tax,60750,61249,57525,0,6713,6713,January,2026,active
Tax,61250,61749,58012,0,6811,6811,January,2026,active
Tax,61750,62249,58500,0,6908,6908,January,2026,active
Tax,62250,62749,58987,0,7006,7006,January,2026,active
Tax,62750,63249,59475,0,7103,7103,January,2026,active
Tax,63250,63749,59962,0,7201,7201,January,2026,active
Tax,63750,64249,60450,0,7298,7298,January,2026,active
Tax,64250,64749,60937,0,7396,7396,January,2026,active
Tax,64750,65249,61425,0,7493,7493,January,2026,active
Tax,65250,65749,61912,0,7591,7591,January,2026,active
Tax,65750,66249,62400,0,7688,7688,January,2026,active
Tax,66250,66749,62887,0,7786,7786,January,2026,active
Tax,66750,67249,63375,0,7883,7883,January,2026,active
Tax,67250,67749,63862,0,7981,7981,January,2026,active
Tax,67750,68249,64350,0,8078,8078,January,2026,active
Tax,68250,68749,64837,0,8176,8176,January,2026,active
Tax,68750,69249,65325,0,8273,8273,January,2026,active
Tax,69250,69749,65812,0,8371,8371,January,2026,active
Tax,69750,70249,66300,0,8468,8468,January,2026,active
Tax,70250,70749,66787,0,8572,8572,January,2026,active
Tax,70750,71249,67275,0,8694,8694,January,2026,active
Tax,71250,71749,67762,0,8816,8816,January,2026,active
Tax,71750,72249,68250,0,8938,8938,January,2026,active
Tax,72250,72749,68737,0,9059,9059,January,2026,active
Tax,72750,73249,69225,0,9181,9181,January,2026,active
Tax,73250,73749,69712,0,9303,9303,January,2026,active
Tax,73750,74249,70200,0,9425,9425,January,2026,active
Tax,74250,74749,70687,0,9547,9547,January,2026,active
Tax,74750,75249,71175,0,9669,9669,January,2026,active
Tax,75250,75749,71662,0,9791,9791,January,2026,active
Tax,75750,76249,72150,0,9913,9913,January,2026,active
Tax,76250,76749,72637,0,10034,10034,January,2026,active
Tax,76750,77249,73125,0,10156,10156,January,2026,active
Tax,77250,77749,73612,0,10278,10278,January,2026,active
Tax,77750,78249,74100,0,10400,10400,January,2026,active
Tax,78250,78749,74587,0,10522,10522,January,2026,active
Tax,78750,79249,75075,0,10644,10644,January,2026,active
Tax,79250,79749,75562,0,10766,10766,January,2026,active
Tax,79750,80249,76050,0,10888,10888,January,2026,active
Tax,80250,80749,76537,0,11009,11009,January,2026,active
Tax,80750,81249,77025,0,11131,11131,January,2026,active
Tax,81250,81749,77512,0,11253,11253,January,2026,active
Tax,81750,82249,78000,0,11375,11375,January,2026,active
Tax,82250,82749,78487,0,11497,11497,January,2026,active
Tax,82750,83249,78975,0,11619,11619,January,2026,active
Tax,83250,83749,79462,0,11741,11741,January,2026,active
Tax,83750,84249,79950,0,11863,11863,January,2026,active
Tax,84250,84749,80437,0,11984,11984,January,2026,active
Tax,84750,85249,80925,0,12106,12106,January,2026,active
Tax,85250,85749,81412,0,12228,12228,January,2026,active
Tax,85750,86249,81900,0,12350,12350,January,2026,active
Tax,86250,86749,82387,0,12472,12472,January,2026,active
Tax,86750,87249,82875,0,12594,12594,January,2026,active
